source_id	original_url_or_path	source_type	title_or_subject	date	evidence_status	currentness	new_route	new_section_or_record	treatment	reason	implemented	verified
FILE-11	02-collect/assets/official-site-images/brand-unverified/ASSET-010--favicon.png	image/png	ASSET-010: Partnership/support reference — green “G” favicon/brand mark	Current-page asset; image date mostly unstated	Do not publish	excluded			exclude-obsolete	Stage 3/4 identifies this material as unsafe, unsupported, obsolete, empty, retired, or rights-limited.	yes	yes
FILE-12	02-collect/assets/official-site-images/restricted-child-rights/ASSET-003--Felix-Neck-Tree-Climbing-GG.jpg	image/jpeg	ASSET-003: Outdoor/place-based learning — children climbing a large tree outdoors	Current-page asset; image date mostly unstated	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-13	02-collect/assets/official-site-images/restricted-child-rights/ASSET-004--GG-Founders1.jpg	image/jpeg	ASSET-004: Educator learning — founders at a professional-learning display	Historical professional-development archive; event date not established here	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-14	02-collect/assets/official-site-images/restricted-child-rights/ASSET-005--Garden-Gate-CDC-Web-Banner.jpg	image/jpeg	ASSET-005: Studio/project learning — child painting with watercolor and flowers	Current-page asset; image date mostly unstated	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-15	02-collect/assets/official-site-images/restricted-child-rights/ASSET-006--Exploring-Projects.jpg	image/jpeg	ASSET-006: Studio/project learning — child painting at a work table	Current-page asset; image date mostly unstated	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-16	02-collect/assets/official-site-images/restricted-child-rights/ASSET-007--Creative-Clay.jpg	image/jpeg	ASSET-007: Studio/project learning — child working clay with tools	Current-page asset; image date mostly unstated	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-17	02-collect/assets/official-site-images/restricted-child-rights/ASSET-008--.1Tye-Dye.jpg	image/jpeg	ASSET-008: Outdoor/place-based learning — tie-dyed textiles displayed outdoors	Current-page asset; image date mostly unstated	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-18	02-collect/assets/official-site-images/restricted-child-rights/ASSET-009--GG-Building1.jpg	image/jpeg	ASSET-009: Outdoor/place-based learning — former Garden Gate building and fenced yard	Historical former-site image on the current press collection	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-19	02-collect/assets/official-site-images/restricted-child-rights/ASSET-012--119641759_3713752725301412_6149950435623913334_o.jpg	image/jpeg	ASSET-012: Studio/project learning — children collaborating in a studio classroom	Archive context, approximately 2020–22	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-20	02-collect/assets/official-site-images/restricted-child-rights/ASSET-013--119641759_3713752725301412_6149950435623913334_o.jpg	image/jpeg	ASSET-013: Studio/project learning — variant of the same studio-classroom scene	Archive context, approximately 2020–22	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-21	02-collect/assets/official-site-images/restricted-child-rights/ASSET-014--fullsizeoutput_10d8.jpg	image/jpeg	ASSET-014: Educator learning — professional-development group and event display	Archive context, approximately 2020–22	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-22	02-collect/assets/official-site-images/restricted-child-rights/ASSET-015--IMG_0567.jpg	image/jpeg	ASSET-015: Outdoor/place-based learning — teacher leading children across an open field	Archive context, approximately 2020–22	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-23	02-collect/assets/official-site-images/restricted-child-rights/ASSET-016--IMG_0567.jpg	image/jpeg	ASSET-016: Outdoor/place-based learning — teacher leading children across an open field	Archive context, approximately 2020–22	Historical evidence	dated-or-historical			duplicate	Duplicate of 02-collect/assets/official-site-images/restricted-child-rights/ASSET-015--IMG_0567.jpg; represented once through the controlling record.	yes	yes
FILE-24	02-collect/assets/official-site-images/restricted-child-rights/ASSET-017--fullsizeoutput_10d8.jpg	image/jpeg	ASSET-017: Educator learning — professional-development group portrait	Archive context, approximately 2020–22	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-25	02-collect/assets/official-site-images/restricted-child-rights/ASSET-018--pasted-image-0.png	image/png	ASSET-018: Outdoor/place-based learning — masked staff and child at a former-site setting	Archive context, approximately 2020–22	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-26	02-collect/assets/official-site-images/restricted-child-rights/ASSET-019--pasted-image-0.jpg	image/jpeg	ASSET-019: Outdoor/place-based learning — masked staff and child at a former-site setting	Archive context, approximately 2020–22	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-27	02-collect/assets/official-site-images/restricted-child-rights/ASSET-020--478997_624519357558113_1511819515_o.jpg	image/jpeg	ASSET-020: Documentation and children’s thinking — handwritten learning-documentation note	Archive context, approximately 2020–22	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-28	02-collect/assets/official-site-images/restricted-child-rights/ASSET-021--478997_624519357558113_1511819515_o.jpg	image/jpeg	ASSET-021: Documentation and children’s thinking — handwritten learning-documentation note	Archive context, approximately 2020–22	Historical evidence	dated-or-historical			duplicate	Duplicate of 02-collect/assets/official-site-images/restricted-child-rights/ASSET-020--478997_624519357558113_1511819515_o.jpg; represented once through the controlling record.	yes	yes
FILE-29	02-collect/assets/official-site-images/restricted-child-rights/ASSET-022--Facebook-Post-1.jpg	image/jpeg	ASSET-022: Historical program promotion — dated 2021–22 Kindergarten enrollment graphic	Archive context, approximately 2020–22	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-30	02-collect/assets/official-site-images/restricted-child-rights/ASSET-023--Facebook-Post-281-29.jpg	image/jpeg	ASSET-023: Historical program promotion — dated 2021–22 Kindergarten enrollment graphic	Archive context, approximately 2020–22	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-31	02-collect/assets/official-site-images/restricted-child-rights/ASSET-024--69036749_2713438491999512_6248344634406207488_n.jpg	image/jpeg	ASSET-024: Outdoor/place-based learning — child and adult examining an outdoor display	Historical story context, approximately 2019–22	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-32	02-collect/assets/official-site-images/restricted-child-rights/ASSET-025--62025634_2575479522462077_6798825971349716992_n.jpg	image/jpeg	ASSET-025: Studio/project learning — adult and child viewing work in a gallery	Historical story context, approximately 2019–22	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-33	02-collect/assets/official-site-images/restricted-child-rights/ASSET-029--Facebook-Post.jpg	image/jpeg	ASSET-029: Partnership/support reference — Martha’s Vineyard Community Services graphic	Current donation page; relationship date unstated	Do not publish	excluded			exclude-obsolete	Stage 3/4 identifies this material as unsafe, unsupported, obsolete, empty, retired, or rights-limited.	yes	yes
FILE-34	02-collect/assets/official-site-images/restricted-child-rights/ASSET-032--IMG_4258.jpg	image/jpeg	ASSET-032: Studio/project learning — children collaborating with open-ended materials	Year End Report 2022	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-35	02-collect/assets/official-site-images/restricted-child-rights/ASSET-033--IMG_5063.jpg	image/jpeg	ASSET-033: Studio/project learning — children exploring loose parts at a table	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-36	02-collect/assets/official-site-images/restricted-child-rights/ASSET-034--IMG_5075.jpg	image/jpeg	ASSET-034: Studio/project learning — child working at an illuminated easel	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-37	02-collect/assets/official-site-images/restricted-child-rights/ASSET-035--IMG_5022.jpg	image/jpeg	ASSET-035: Studio/project learning — children constructing with wood and blocks	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-38	02-collect/assets/official-site-images/restricted-child-rights/ASSET-036--IMG_4990.jpg	image/jpeg	ASSET-036: Outdoor/place-based learning — children building with crates on an outdoor stage	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-39	02-collect/assets/official-site-images/restricted-child-rights/ASSET-037--IMG_4956.jpg	image/jpeg	ASSET-037: Studio/project learning — young children mixing and measuring materials	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-40	02-collect/assets/official-site-images/restricted-child-rights/ASSET-038--IMG_4976.jpg	image/jpeg	ASSET-038: Studio/project learning — mixed-age collaborative classroom activity	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-41	02-collect/assets/official-site-images/restricted-child-rights/ASSET-039--IMG_4964.jpg	image/jpeg	ASSET-039: Studio/project learning — teacher reading with a small group	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-42	02-collect/assets/official-site-images/restricted-child-rights/ASSET-040--IMG_4896.jpg	image/jpeg	ASSET-040: Outdoor/place-based learning — children investigating a large tree outdoors	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-43	02-collect/assets/official-site-images/restricted-child-rights/ASSET-041--IMG_4855.jpg	image/jpeg	ASSET-041: Studio/project learning — children painting with jars of color	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-44	02-collect/assets/official-site-images/restricted-child-rights/ASSET-042--IMG_4848.jpg	image/jpeg	ASSET-042: Studio/project learning — children arranging natural loose parts	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-45	02-collect/assets/official-site-images/restricted-child-rights/ASSET-043--IMG_4877.jpg	image/jpeg	ASSET-043: Outdoor/place-based learning — children walking together on a wooded trail	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-46	02-collect/assets/official-site-images/restricted-child-rights/ASSET-044--IMG_4866.jpg	image/jpeg	ASSET-044: Outdoor/place-based learning — children measuring or documenting a tree	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-47	02-collect/assets/official-site-images/restricted-child-rights/ASSET-045--IMG_4834.jpg	image/jpeg	ASSET-045: Studio/project learning — children painting together at a studio table	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-48	02-collect/assets/official-site-images/restricted-child-rights/ASSET-046--IMG_4718.jpg	image/jpeg	ASSET-046: Studio/project learning — child presenting a colorful block construction	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-49	02-collect/assets/official-site-images/restricted-child-rights/ASSET-047--IMG_7769.jpg	image/jpeg	ASSET-047: Studio/project learning — teacher and children in a classroom exchange	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-50	02-collect/assets/official-site-images/restricted-child-rights/ASSET-048--IMG_7766.jpg	image/jpeg	ASSET-048: Studio/project learning — large group gathered with an educator	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-51	02-collect/assets/official-site-images/restricted-child-rights/ASSET-049--IMG_6276.jpg	image/jpeg	ASSET-049: Outdoor/place-based learning — children examining a small object outdoors	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-52	02-collect/assets/official-site-images/restricted-child-rights/ASSET-050--IMG_6254.jpg	image/jpeg	ASSET-050: Studio/project learning — child composing with translucent shapes on light	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-53	02-collect/assets/official-site-images/restricted-child-rights/ASSET-051--IMG_4280.jpg	image/jpeg	ASSET-051: Studio/project learning — children painting together at a small table	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-54	02-collect/assets/official-site-images/restricted-child-rights/ASSET-052--IMG_4242.jpg	image/jpeg	ASSET-052: Studio/project learning — children building with blocks in the studio	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-55	02-collect/assets/official-site-images/restricted-child-rights/ASSET-053--IMG_4415.jpg	image/jpeg	ASSET-053: Studio/project learning — children visiting a gallery exhibition	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-56	02-collect/assets/official-site-images/restricted-child-rights/ASSET-054--IMG_1065.jpg	image/jpeg	ASSET-054: Studio/project learning — child shaping small figures or materials	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-57	02-collect/assets/official-site-images/restricted-child-rights/ASSET-055--IMG_7602.jpg	image/jpeg	ASSET-055: Studio/project learning — group exploring translucent materials on light	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-58	02-collect/assets/official-site-images/restricted-child-rights/ASSET-056--IMG_1049.jpg	image/jpeg	ASSET-056: Studio/project learning — child displaying paint and textured hand work	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-59	02-collect/assets/official-site-images/restricted-child-rights/ASSET-057--IMG_1038.jpg	image/jpeg	ASSET-057: Studio/project learning — children drawing and observing faces in mirrors	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-60	02-collect/assets/official-site-images/restricted-child-rights/ASSET-058--IMG_1090.jpg	image/jpeg	ASSET-058: Studio/project learning — children observing faces through mirrors	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-61	02-collect/assets/official-site-images/restricted-child-rights/ASSET-059--IMG_1040.jpg	image/jpeg	ASSET-059: Studio/project learning — child using a mirror for self-observation	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-62	02-collect/assets/official-site-images/restricted-child-rights/ASSET-060--IMG_1061.jpg	image/jpeg	ASSET-060: Studio/project learning — child drawing carefully at a table	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-63	02-collect/assets/official-site-images/restricted-child-rights/ASSET-061--IMG_1059.jpg	image/jpeg	ASSET-061: Studio/project learning — child cutting and arranging small art materials	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-64	02-collect/assets/official-site-images/restricted-child-rights/ASSET-062--IMG_1099.jpg	image/jpeg	ASSET-062: Studio/project learning — children painting collaboratively at a large table	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-65	02-collect/assets/official-site-images/restricted-child-rights/ASSET-063--IMG_5977.jpg	image/jpeg	ASSET-063: Studio/project learning — children engaged in dramatic play with loose parts	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-66	02-collect/assets/official-site-images/restricted-child-rights/ASSET-064--IMG_7623.jpg	image/jpeg	ASSET-064: Studio/project learning — child assembling a fabric or collage work	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-67	02-collect/assets/official-site-images/restricted-child-rights/ASSET-065--IMG_5717.jpg	image/jpeg	ASSET-065: Studio/project learning — children investigating clay and natural materials	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-68	02-collect/assets/official-site-images/restricted-child-rights/ASSET-066--IMG_6044.jpg	image/jpeg	ASSET-066: Studio/project learning — children collaborating with clay and tools	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-69	02-collect/assets/official-site-images/restricted-child-rights/ASSET-067--IMG_5719.jpg	image/jpeg	ASSET-067: Studio/project learning — children designing with paper, tape, and drawing	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-70	02-collect/assets/official-site-images/restricted-child-rights/ASSET-068--IMG_1051.jpg	image/jpeg	ASSET-068: Studio/project learning — children constructing with wood pieces	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-71	02-collect/assets/official-site-images/restricted-child-rights/ASSET-069--IMG_1026.jpg	image/jpeg	ASSET-069: Studio/project learning — children presenting a large block structure	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-72	02-collect/assets/official-site-images/restricted-child-rights/ASSET-070--IMG_7728.jpg	image/jpeg	ASSET-070: Studio/project learning — educator and children discussing floor-based work	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-73	02-collect/assets/official-site-images/restricted-child-rights/ASSET-071--IMG_7735.jpg	image/jpeg	ASSET-071: Studio/project learning — child weighing or measuring classroom objects	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-74	02-collect/assets/official-site-images/restricted-child-rights/ASSET-072--IMG_7719.jpg	image/jpeg	ASSET-072: Studio/project learning — child drawing from a photographic reference	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-75	02-collect/assets/official-site-images/restricted-child-rights/ASSET-073--IMG_7776.jpg	image/jpeg	ASSET-073: Studio/project learning — child drawing a grid in a sketchbook	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-76	02-collect/assets/official-site-images/restricted-child-rights/ASSET-074--IMG_4429.jpg	image/jpeg	ASSET-074: Studio/project learning — children discussing work during a gallery visit	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-77	02-collect/assets/official-site-images/restricted-child-rights/ASSET-075--IMG_7788.jpg	image/jpeg	ASSET-075: Studio/project learning — child holding a handmade mask	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-78	02-collect/assets/official-site-images/restricted-child-rights/ASSET-076--IMG_7797.jpg	image/jpeg	ASSET-076: Documentation and children’s thinking — child’s drawing and written thinking	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-79	02-collect/assets/official-site-images/restricted-child-rights/ASSET-077--IMG_7787.jpg	image/jpeg	ASSET-077: Studio/project learning — child wearing a handmade mask	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-80	02-collect/assets/official-site-images/restricted-child-rights/ASSET-078--IMG_7852.jpg	image/jpeg	ASSET-078: Studio/project learning — child drawing from a photographic image	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-81	02-collect/assets/official-site-images/restricted-child-rights/ASSET-079--IMG_7801.jpg	image/jpeg	ASSET-079: Studio/project learning — child standing beside a large cardboard sculpture	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-82	02-collect/assets/official-site-images/restricted-child-rights/ASSET-080--IMG_7899.jpg	image/jpeg	ASSET-080: Documentation and children’s thinking — child connecting alphabet reference and drawing	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-83	02-collect/assets/official-site-images/restricted-child-rights/ASSET-081--IMG_7826.jpg	image/jpeg	ASSET-081: Studio/project learning — children painting with loose materials on the floor	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-84	02-collect/assets/official-site-images/restricted-child-rights/ASSET-082--IMG_7903.jpg	image/jpeg	ASSET-082: Documentation and children’s thinking — child’s documented drawing and writing	September 2023 newsletter archive	Historical evidence	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
